name,description,reviews,total_reviews,total_positive,total_negative,system_requirements,tags,url,reviews_score,price_usd,positive_ratio,id,released,rating,ratings_count,metacritic,playtime,genres,platforms,screenshots_count,achievements_count
The Binding of Isaac: Repentance,,Very Positive,13203.0,11100.0,2103.0,"Minimum: OS: Windows 10 Processor: i7 Memory: 4 GB RAM Graphics: GeForce 900 Series Storage: 666 MB available space Sound Card: Yes Additional Notes: ༼つ ◕_◕ ༽つ Recommended: OS: Windows 10 Processor: i9 Memory: 8 GB RAM Storage: 666 MB available space Sound Card: Yes Additional Notes: ༼つ ◕_◕ ༽つ © 2020 Nicalis, Inc/Edmund McMillen View all","Action,Adventure,RPG,Roguelike,Difficult,Replay Value,Action Roguelike,Indie,Gore,Pixel Graphics,Multiplayer,Singleplayer,Dungeon Crawler,2D,Roguelite,Great Soundtrack,Dark,Procedural Generation,Atmospheric,Horror",https://store.steampowered.com/app/1426300/The_Binding_of_Isaac_Repentance/,4.0,6.69,84.0718018632129,536886,2021-03-31,4.69,123,,0,Action,"PlayStation 5, PlayStation 4, Nintendo Switch, Xbox Series S/X, PC, Xbox One",6,10.0
Dispatch,"Dispatch is a superhero workplace comedy where choices matter. Manage a dysfunctional team of misfit heroes and strategize who to send to emergencies around the city, all while balancing office politics, personal relationships, and your own quest to become a hero. All episodes out now!",Overwhelmingly Positive,170731.0,166779.0,3952.0,Minimum: OS: Windows 10 (64-bit) or later Processor: Intel(R) Core(TM) i5-6402p CPU / AMD Ryzen 5 1600 or higher Memory: 2 GB RAM Graphics: NVIDIA GeForce GTX960 / AMD Radeon RX560 DirectX: Version 11 Storage: 15 GB available space Sound Card: DirectX compatible Recommended: OS: Windows 10 (64-bit) or later Processor: Processor: Intel(R) Core(TM) i5-7400 CPU / AMD Ryzen 5 2600 or higher Memory: 16 GB RAM Graphics: NVIDIA GTX 1050 / AMD Radeon RX 580 DirectX: Version 11 Storage: 15 GB available space Sound Card: DirectX compatible View all,"Choices Matter,Story Rich,Sexual Content,Nudity,Superhero,Singleplayer,Romance,Comedy,Choose Your Own Adventure,Episodic,Cinematic,Funny,Strategy,Action,Point & Click,Comic Book,Indie,Visual Novel,Adventure,Atmospheric",https://store.steampowered.com/app/2592160/Dispatch/,5.0,14.49,97.68524755316844,337273,2025-10-22,4.6,183,,0,"Action, Adventure, Strategy, Casual, Indie","PlayStation 5, PC",4,0.0
Portal 2,"The ""Perpetual Testing Initiative"" has been expanded to allow you to design co-op puzzles for you and your friends!",Overwhelmingly Positive,457504.0,451579.0,5925.0,"Windows SteamOS + Linux Minimum: OS *: Windows 7 / Vista / XP Processor: 3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher) Memory: 2 GB RAM Graphics: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher / NVIDIA GeForce 7600 or higher / Intel HD Graphics 2000 or higher). DirectX: Version 9.0c Storage: 8 GB available space Sound Card: DirectX 9.0c compatible * Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions. Minimum: OS: Ubuntu 12.04 Processor: Dual core from Intel or AMD at 2.8 GHz Memory: 2 GB RAM Graphics: nVidia GeForce 8600/9600GT, ATI/AMD Radeon HD2600/3600 (Graphic Drivers: nVidia 310, AMD 12.11), OpenGL 2.1 Storage: 8 GB available space Sound Card: OpenAL Compatible Sound Card View all","Singleplayer,Platformer,Puzzle,First-Person,Dark Humor,Story Rich,Puzzle Platformer,Funny,Female Protagonist,3D Platformer,Action-Adventure,FPS,Action,Co-op,Physics,Sci-fi,Level Editor,Science,Comedy,Atmospheric",https://store.steampowered.com/app/620/Portal_2/,5.0,6.29,98.70492935580891,4200,2011-04-18,4.58,6090,95.0,11,"Shooter, Puzzle","PlayStation 3, PC, Xbox 360, Linux, macOS, Xbox One",6,10.0
Outer Wilds - Echoes of the Eye,,Very Positive,6190.0,5603.0,587.0,"Minimum: Requires a 64-bit processor and operating system OS: Windows 10 Processor: Intel Core i5-2300 | AMD FX-4350 Memory: 6 GB RAM Graphics: Nvidia GeForce 660 (2GB) | AMD Radeon HD 7870 (2 GB) Recommended: Requires a 64-bit processor and operating system OS: Windows 10 Processor: Intel Core i5-8400 | AMD Ryzen 5 2600X Memory: 8 GB RAM Graphics: Nvidia GeForce GTX 1060 | AMD Radeon RX 580 © 2021 Mobius Digital, LLC. Published by Annapurna Interactive under exclusive license. All rights reserved. View all","Adventure,Action,Horror,Mystery,Exploration,Space,Atmospheric,Story Rich,Puzzle,Great Soundtrack,First-Person,Singleplayer,Sci-fi,Stealth,Psychological Horror,Indie,Open World,Beautiful",https://store.steampowered.com/app/1622100/Outer_Wilds__Echoes_of_the_Eye/,4.0,5.09,90.51696284329563,650649,2021-09-28,4.56,114,,0,Adventure,"PC, Xbox One, PlayStation 4, Nintendo Switch",3,0.0
Divinity: Original Sin 2 - Definitive Edition,"The critically acclaimed RPG that raised the bar, from the creators of Baldur's Gate 3. Gather your party. Master deep, tactical combat. Venture as a party of up to four - but know that only one of you will have the chance to become a God.",Overwhelmingly Positive,201640.0,192975.0,8665.0,"Windows macOS Minimum: Requires a 64-bit processor and operating system OS *: Windows 7 SP1 64-bit or Windows 8.1 64-bit or Windows 10 64-bit Processor: Intel Core i5 or equivalent Memory: 4 GB RAM Graphics: NVIDIA® GeForce® GTX 550 or ATI™ Radeon™ HD 6XXX or higher DirectX: Version 11 Storage: 60 GB available space Additional Notes: Minimum requirements may change during development. Recommended: Requires a 64-bit processor and operating system OS *: Windows 7 SP1 64-bit or Windows 8.1 64-bit or Windows 10 64-bit Processor: Intel Core i7 or equivalent Memory: 8 GB RAM Graphics: NVIDIA GeForce GTX 770 or AMD R9 280 DirectX: Version 11 Storage: 60 GB available space Additional Notes: Recommended requirements may change during development. * Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions. Minimum: OS: macOS 10.13.6 High Sierra Processor: Core i5 Memory: 8 GB RAM Graphics: HD Graphics 5000 or Radeon R9 M290X Storage: 20 GB available space Additional Notes: Nvidia GPUs are not supported at this time and will likely result in graphical distortion or artefacts. Supported: - MacBook Pro: all since late 2016 - MacBook Air: all since mid 2017 - iMac: with AMD GPUs since late 2013 - Mac Pro: all since late 2013 - Mac mini: all since 2018 Recommended: OS: macOS 10.14.2 Mojave Processor: Core i5 Memory: 8 GB RAM Graphics: HD Graphics 630+ or Radeon R9 M390X or eGPU Storage: 20 GB available space ©2016-2017 Larian Studios. All rights reserved. Divinity, Divinity: Original Sin and Larian are registered trademarks of Larian Studios Games Ltd. View all","Tactical RPG,RPG,Turn-Based Strategy,Story Rich,Fantasy,Character Customization,CRPG,Exploration,Party-Based RPG,Strategy RPG,PvP,Female Protagonist,Co-op Campaign,Local Co-Op,Choices Matter,Romance,Isometric,Strategy,Moddable,Funny",https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/,5.0,24.99,95.702737552073,59199,2018-08-31,4.51,591,94.0,10,RPG,"PlayStation 4, Nintendo Switch, macOS, PC, iOS, Xbox One",6,10.0
STRAFTAT,"STRAFTAT is a 1v1/2v2 ONLINE first person SHOOTER with quick rounds in over 350 MAPS ; Including all WEAPONS, proximity chat and 4 players FFA.",Overwhelmingly Positive,19881.0,19134.0,747.0,Windows macOS SteamOS + Linux Minimum: Requires a 64-bit processor and operating system OS: Windows 10 Processor: Intel Core i3-2XXX @ 2.0GHz / AMD Phenom II X4 @ 2.6GHz Memory: 6 GB RAM Graphics: NVIDIA GeForce GTX 760 Network: Broadband Internet connection Storage: 9 GB available space Recommended: Requires a 64-bit processor and operating system OS: Windows 10 Processor: 1.4 Ghz to 1.49 Ghz Memory: 8 GB RAM Graphics: NVIDIA GeForce GTX 1650 Network: Broadband Internet connection Storage: 9 GB available space Minimum: OS: mac OS 10 Processor: Intel Core i5-2XXX @ 2.0GHz / AMD Phenom II X4 @ 2.6GHz Memory: 6 GB RAM Graphics: Intel HD Graphics 3000 or better Storage: 9 MB available space Recommended: OS: mac OS 10 Processor: 1.4 Ghz to 1.49 Ghz Memory: 8 GB RAM Graphics: NVIDIA GeForce GTX 1650 Storage: 9 MB available space Minimum: OS: Ubuntu LTS Processor: Intel Core i5-2XXX @ 2.0GHz / AMD Phenom II X4 @ 2.6GHz Memory: 6 GB RAM MB RAM Graphics: Intel HD Graphics 3000 or better Storage: 9 MB available space Recommended: OS: Ubuntu LTS Processor: 1.4 Ghz to 1.49 Ghz Memory: 8 MB RAM Graphics: NVIDIA GeForce GTX 1650 Storage: 9 MB available space View all,"Action,Shooter,FPS,PvP,Free to Play,Multiplayer,Arena Shooter,3D,1990's,Fast-Paced,Gore,Violent,Boomer Shooter,Surreal,Indie,Atmospheric,Retro,Great Soundtrack,Casual,Psychological Horror",https://store.steampowered.com/app/2386720/STRAFTAT/,5.0,0.0,96.24264373019466,991154,2024-10-24,4.5,8,,2,Action,PC,6,
Shovel Knight: Shovel of Hope,"Shovel Knight is a sweeping classic action-adventure game with awesome gameplay, memorable characters, and an 8-bit retro aesthetic. If you love games with perfect platforming, beautiful art, infectious music, lovable bosses, humor and levity, and real heart… Shovel Knight is for you!",,955.0,900.0,55.0,"Windows macOS SteamOS + Linux Minimum: OS *: Windows 7 or later Processor: Intel Core 2 Duo 2.1 ghz or equivalent Memory: 2 GB RAM Graphics: 2nd Generation Intel Core HD Graphics (2000/3000), 512MB DirectX: Version 9.0 Storage: 250 MB available space * Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions. Minimum: OS: Compatible up to 10.15.17 Catalina Processor: Intel Core 2 Duo 2.0 ghz or equivalent Memory: 2 GB RAM Graphics: 2nd Generation Intel Core HD Graphics (2000/3000), 512MB Storage: 250 MB available space Minimum: OS: Ubuntu 12.04 or newer Processor: Intel Core 2 Duo 2.1 ghz or equivalent Memory: 2 GB RAM Graphics: 2nd Generation Intel Core HD Graphics (2000/3000), 512MB Storage: 250 MB available space Shovel Knight™, the Shovel Knight logo, and the Shovel Knight characters are trademarks of Yacht Club Games™ and are registered in certain jurisdictions, including in the United States. ©2019 Yacht Club Games L.L.C. All Rights Reserved. View all","Action,Adventure,Indie,Platformer,Pixel Graphics,2D,Retro,Co-op,Great Soundtrack,Difficult,Singleplayer,Metroidvania",https://store.steampowered.com/app/589500/Shovel_Knight_Shovel_of_Hope/,,8.49,94.24083769633508,392459,2014-06-26,4.5,22,,1,"Action, Adventure, Indie","macOS, Xbox One, PC, Nintendo 3DS, Wii U, PlayStation 3, PlayStation 4, PS Vita, Linux, Nintendo Switch",6,
Portal,"Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.",Overwhelmingly Positive,192998.0,190141.0,2857.0,"Minimum: 1.7 GHz Processor, 512MB RAM, DirectX® 8.1 level Graphics Card (Requires support for SSE), Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection Recommended: Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX® 9 level Graphics Card, Windows® 7 (32/64-bit)/Vista/XP, Mouse, Keyboard, Internet Connection * Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions. View all","Puzzle,Puzzle Platformer,First-Person,3D Platformer,Singleplayer,Sci-fi,Comedy,Female Protagonist,Physics,Funny,Action,Classic,Story Rich,Platformer,Science,Atmospheric,Dark Humor,Short,FPS,Adventure",https://store.steampowered.com/app/400/Portal/,5.0,6.29,98.51967377900289,13536,2007-10-09,4.49,5011,90.0,4,"Action, Puzzle","macOS, PC, Android, PlayStation 3, Xbox 360, Linux, Nintendo Switch",6,10.0
Half-Life 2,"Reawakened from stasis in the occupied metropolis of City 17, Gordon Freeman is joined by Alyx Vance as he leads a desperate human resistance. Experience the landmark first-person shooter packed with immersive world-building, boundary-pushing physics, and exhilarating combat.",Overwhelmingly Positive,270304.0,263873.0,6431.0,"Minimum: OS *: Windows 7, Vista, XP Processor: 1.7 Ghz Memory: 512 MB RAM Graphics: DirectX 8.1 level Graphics Card (requires support for SSE) Storage: 6500 MB available space * Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions. View all","FPS,Action,Sci-fi,Classic,Singleplayer,Story Rich,Shooter,First-Person,Adventure,Dystopian,Atmospheric,Silent Protagonist,Zombies,Physics,Aliens,Great Soundtrack,Horror,Multiplayer,Puzzle,Moddable",https://store.steampowered.com/app/220/HalfLife_2/,5.0,6.29,97.62082692080028,13537,2004-11-16,4.48,4097,96.0,7,"Action, Shooter","PC, macOS, Xbox 360, Linux, Xbox, Android",6,10.0
The Dishwasher: Vampire Smile,"The followup to 2009's Dead Samurai, The Dishwasher: Vampire Smile is a combo-fueled, fast-paced, stylistic 2D action platformer that features the series' staple gritty, graphic novel-inspired art style, built on a new engine that allows for an even more visually gruesome experience.",,1783.0,1697.0,86.0,"Windows macOS SteamOS + Linux Minimum: OS *: Windows Vista Processor: Intel Core 2 Duo 2.8 GHz or equivalent Memory: 1 GB RAM Graphics: OpenGL 3.0+ support (2.1 with ARB extensions acceptable) Storage: 1 GB available space Additional Notes: SDL_GameController devices fully supported Recommended: OS *: Windows 7 Processor: Intel Core 2 Duo or AMD Athlon 64 X2 5600+ Memory: 2 GB RAM Graphics: OpenGL 3.2+ support Storage: 1 GB available space Additional Notes: SDL_GameController devices fully supported * Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions. Minimum: OS: Lion 10.7.5 Processor: Intel Core 2 Duo 2.8 GHz or equivalent Memory: 1 GB RAM Graphics: OpenGL 3.0+ support (2.1 with ARB extensions acceptable) Storage: 1 GB available space Additional Notes: SDL_GameController devices fully supported Recommended: OS: Latest macOS Release Processor: Intel Core 2 Duo Memory: 2 GB RAM Graphics: OpenGL 3.2+ support Storage: 1 GB available space Additional Notes: SDL_GameController devices fully supported Minimum: OS: glibc 2.15+, 32/64-bit. S3TC support is NOT required. Processor: Intel Core 2 Duo 2.8 GHz or equivalent Memory: 1 GB RAM Graphics: OpenGL 3.0+ support (2.1 with ARB extensions acceptable) Storage: 1 GB available space Additional Notes: SDL_GameController devices fully supported Recommended: OS: glibc 2.15+, 32/64-bit Processor: Intel Core 2 Duo or AMD Athlon 64 X2 5600+ Memory: 2 GB RAM Graphics: OpenGL 3.2+ support Storage: 1 GB available space Additional Notes: SDL_GameController devices fully supported © 2010-2017 Ska Studios LLC View all","Action,Indie,Hack and Slash,Gore,2D,Beat 'em up,Co-op,Horror,Character Action Game,Vampire,Female Protagonist,Difficult,Great Soundtrack,Local Co-Op,Side Scroller,Metroidvania",https://store.steampowered.com/app/268990/The_Dishwasher_Vampire_Smile/,,6.99,95.17666853617499,22152,2017-05-12,4.47,17,,3,"Action, Indie","PC, Linux, macOS",6,10.0
It Takes Two,Embark on the craziest journey of your life in It Takes Two. Invite a friend to join for free with Friend’s Pass and work together across a huge variety of gleefully disruptive gameplay challenges. Winner of GAME OF THE YEAR at the Game Awards 2021.,Overwhelmingly Positive,257585.0,245772.0,11813.0,"Minimum: Requires a 64-bit processor and operating system OS *: Windows 8.1 64-bit or Windows 10 64-bit Processor: Intel Core i3-2100T or AMD FX 6100 Memory: 8 GB RAM Graphics: Nvidia GeForce GTX 660 or AMD R7 260x DirectX: Version 11 Network: Broadband Internet connection Storage: 50 GB available space Recommended: Requires a 64-bit processor and operating system OS *: Windows 8.1 64-bit or Windows 10 64-bit Processor: Intel Core i5 3570K or AMD Ryzen 3 1300x Memory: 16 GB RAM Graphics: Nvidia GeForce GTX 980 or AMD R9 290X DirectX: Version 11 Network: Broadband Internet connection Storage: 50 GB available space * Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions. INTERNET CONNECTION, EA ACCOUNT, STEAM ACCOUNT AND ACCEPTANCE OF EA USER AGREEMENT (TERMS.EA.COM) AND REGISTRATION WITH SINGLE-USE PRODUCT CODE MAY BE REQUIRED TO PLAY. EA’S PRIVACY & COOKIE POLICY APPLIES TO YOUR USE OF EA’S SERVICES. SEE FINAL PRODUCT DETAILS AND CONTENT PROTECTION TECHNOLOGY AT ea.com/legal, IF AND WHEN AVAILABLE. YOU MUST LINK YOUR EA AND STEAM ACCOUNTS TO PLAY; EA WILL SHARE YOUR ACCOUNT ID AND INDIVIDUAL GAME AND PLAY RECORDS WITH STEAM TO VALIDATE YOUR PURCHASE AND/OR REFUND REQUEST. YOU MAY NEED TO BE 13+ TO ACCESS ONLINE FEATURES. MANDATORY CONTENT UPDATES MAY BE DOWNLOADED AUTOMATICALLY, REQUIRE ADDITIONAL STORAGE, AND INCUR BANDWIDTH USAGE FEES. EA MAY RETIRE ONLINE FEATURES AFTER 30 DAYS NOTICE AT ea.com/service-updates. EA User Agreement: terms.ea.com/de for German residents and terms.ea.com for all other residents. EA Privacy & Cookie Policy: privacy.ea.com/de for German residents and privacy.ea.com for all other residents. *Friend’s Pass requires installation of the Friend’s Pass Free Trial and one online Friend who owns the game on the same platform and/or next gen platform. **Remote Play Together requires access to Remote Play Together and one online Friend who owns the game on Steam. © 2021 Hazelight Studios AB. All Rights Reserved. IT TAKES TWO is a trademark of HAzelight Studios AB. EA and the EA logo are trademarks of Electronic Arts Inc. View all","Co-op,Multiplayer,Split Screen,Local Co-Op,Online Co-Op,Puzzle,Adventure,Story Rich,Co-op Campaign,Local Multiplayer,Puzzle Platformer,Action-Adventure,3D Platformer,Emotional,Platformer,Exploration,Action,Atmospheric,Minigames,Female Protagonist",https://store.steampowered.com/app/1426210/It_Takes_Two/,5.0,0.0,95.41394102917484,455597,2021-03-26,4.47,1721,88.0,10,"Action, Adventure, Platformer","PlayStation 5, Xbox Series S/X, PlayStation 4, PC, Nintendo Switch, Xbox One",6,10.0
Summer Memories,"It's summer break, and it's been years since you've last seen your aunt and cousins in the countryside! You don't know what to expect, but what could go wrong? Find out in Summer Memories!",Very Positive,24259.0,22502.0,1757.0,"Minimum: OS *: Windows® 7/8/8.1/10/11 Processor: Intel Core2 Duo or better Memory: 2 GB RAM Graphics: DirectX 9/OpenGL 4.1 capable GPU DirectX: Version 9.0 Storage: 1 GB available space Additional Notes: 1280x768 or better Display. Lag may occur from loading menus or maps. Turn off other programs before running the game. Recommended: OS *: Windows® 7/8/8.1/10/11 Processor: 2+ GHz Processor Memory: 2 GB RAM Graphics: OpenGL ES 2.0 hardware driver support required for WebGL acceleration. (AMD Catalyst 10.9, nVidia 358.50) DirectX: Version 9.0 Storage: 4 GB available space Additional Notes: 1280x768 or better Display. Lag may occur from loading menus or maps. Turn off other programs before running the game. * Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions. View all","Sexual Content,Nudity,Mature,Hentai,Pixel Graphics,FPS,Anime,RPG,Simulation,Visual Novel,Multiple Endings,2D,Singleplayer,Time Management,JRPG,RPGMaker,Adventure,Indie,Funny,Memes",https://store.steampowered.com/app/1227890/Summer_Memories/,4.0,4.08,92.75732717754236,427575,,4.46,23,,6,"Adventure, RPG",PC,6,0.0
Later Alligator,"Pat the alligator, a (mostly) harmless and (probably) innocent reptile is at the center of a conspiracy that could bring down the biggest, scariest family in Alligator New York City: his own! Explore the city, meet the Family, and try to save Pat before the clock runs out.",Overwhelmingly Positive,2996.0,2879.0,117.0,"Windows macOS SteamOS + Linux Minimum: Requires a 64-bit processor and operating system OS *: Windows 7 64-Bit (Media Feature Pack required on Windows N) Processor: 2+ Ghz Intel or AMD Memory: 4 GB RAM Graphics: Nvidia 750M or equivalent DirectX: Version 9.0c Storage: 2 GB available space Sound Card: Optional, but recommended Recommended: Requires a 64-bit processor and operating system * Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions. Minimum: OS: Mac OS 10.11+ Processor: 2+ Ghz Memory: 4 GB RAM Graphics: Nvidia 750M or equivalent Storage: 2 GB available space Sound Card: Optional, but recommended Recommended: Minimum: OS: Ubuntu 18.04+ or equivalent (64-bit only) Processor: 2+ Ghz Intel or AMD Memory: 4 GB RAM Graphics: Nvidia 750M or equivalent with vendor-supplied drivers Storage: 2 GB available space Sound Card: Optional, but recommended Recommended: View all","Indie,Cute,Point & Click,Funny,Great Soundtrack,Cartoony,Mystery,Singleplayer,Comedy,Minigames,Casual,Puzzle,2D,Hand-drawn,Cartoon,LGBTQ+,Adventure,Family Friendly,Short",https://store.steampowered.com/app/966320/Later_Alligator/,5.0,9.89,96.09479305740987,270660,2019-09-18,4.45,20,,2,"Adventure, Indie","Nintendo Switch, macOS, Linux, PC",6,10.0
The Citadel,"The Citadel is a brutal first person shooter, and a love letter to classic games such as Marathon, Doom and Wolfenstein 3d. Descend into the depths of a dark citadel, and fight through 6 Episodes and 30 levels of action packed with 6 challenging bosses. Go forth, Martyr.",Very Positive,2765.0,2564.0,201.0,Minimum: Requires a 64-bit processor and operating system OS: Windows 10 64 bit Processor: Intel Core i-5-10210U Memory: 8 GB RAM Graphics: NVIDIA GeForce 820M 1GB VRAM DirectX: Version 12 Storage: 800 MB available space Recommended: Requires a 64-bit processor and operating system OS: Windows 10 64 bit Processor: Intel Core i-7-7700HQ CPU @2.80GHz Memory: 8 GB RAM Graphics: NVIDIA GeForce GTX 1060 DirectX: Version 12 Storage: 800 MB available space View all,"FPS,Retro,Gore,Anime,Old School,Indie,Violent,Singleplayer,Shooter,2.5D,Action,Sci-fi,Boomer Shooter,Female Protagonist,1990's,Atmospheric,First-Person,Shoot 'Em Up,Casual,Combat",https://store.steampowered.com/app/1378290/The_Citadel/,4.0,5.09,92.73056057866185,484923,2020-08-04,4.45,11,,2,"Action, Casual, Indie",PC,6,
The Legend of Heroes: Trails in the Sky SC,"Picking up shortly after The Legend of Heroes: Trails in the Sky, Estelle travels across Liberl in search of Joshua. The journey involves more than seeking loved ones, however, as the Bracer Guild also tasks her with unraveling the mysteries behind the newly unveiled Society of Ouroboros.",Overwhelmingly Positive,4226.0,4130.0,96.0,"Minimum: OS *: Windows XP Processor: Pentium III 550 MHz Memory: 512 MB RAM Graphics: 32 MB VRAM, 3D accelerator compatible w/ DirectX 9.0c DirectX: Version 9.0c Storage: 4 GB available space Sound Card: Compatible with DirectX 9.0c Recommended: OS *: Windows Vista, 7 or 8 (64-bit supported) Processor: Core 2 Duo 2GHz or higher Memory: 1 GB RAM Graphics: 64 MB VRAM, 3D accelerator compatible w/ DirectX 9.0c DirectX: Version 9.0c Storage: 5 GB available space Sound Card: Compatible with DirectX 9.0c * Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions. (c)2006-2015 Nihon Falcom Corporation. Licensed to and published by XSEED Games / Marvelous USA, Inc. View all","JRPG,Story Rich,RPG,Great Soundtrack,Anime,Female Protagonist,Turn-Based Combat,Singleplayer,Turn-Based,Adventure,Classic,Fantasy,Romance,Action,Tactical RPG",https://store.steampowered.com/app/251290/The_Legend_of_Heroes_Trails_in_the_Sky_SC/,5.0,17.99,97.72834831992428,11498,2015-10-28,4.44,72,80.0,15,RPG,"PC, PSP",6,10.0
The Legend of Heroes: Trails in the Sky the 3rd,"Half a year after Trails in the Sky SC, Father Kevin Graham takes on a routine mission on behalf of the Septian Church. He and his partner are then plunged into a realm that follows an unnaturally strict set of rules and is as intent to open old wounds as it is to keep them behind closed doors.",Very Positive,2466.0,2334.0,132.0,"Minimum: OS *: Windows XP Processor: Pentium III 550 MHz Memory: 512 MB RAM Graphics: 32 MB VRAM, 3D accelerator compatible w/ DirectX 9.0c DirectX: Version 9.0c Storage: 5 GB available space Sound Card: Compatible with DirectX 9.0c Recommended: OS *: Windows Vista or later (64-bit supported) Processor: Core 2 Duo 2GHz or higher Memory: 1 GB RAM Graphics: 64 MB VRAM, 3D accelerator compatible w/ DirectX 9.0c DirectX: Version 9.0c Storage: 6 GB available space Sound Card: Compatible with DirectX 9.0c * Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions. ©Nihon Falcom Corporation. All Rights Reserved. Licensed to and published by XSEED Games / Marvelous USA, Inc. View all","JRPG,RPG,Great Soundtrack,Story Rich,Anime,Turn-Based,Singleplayer,Fantasy,Turn-Based Combat,Dungeon Crawler",https://store.steampowered.com/app/436670/The_Legend_of_Heroes_Trails_in_the_Sky_the_3rd/,4.0,17.99,94.64720194647201,21974,2007-06-28,4.44,45,83.0,16,RPG,"PSP, PC",6,10.0
X-Plane 11,"The future of flight simulation is now! X-Plane 11 is the detailed, realistic, and modern simulator you’ve been waiting for. Intuitive user interface, 3-D cockpits, new effects, 3-D sound, living airports and world-wide scenery.",Very Positive,19873.0,18474.0,1399.0,"Windows macOS SteamOS + Linux Minimum: Requires a 64-bit processor and operating system OS *: Windows 7, 8.1, or 10, 64-bit Processor: Intel Core i3, i5, or i7 CPU with 2 or more cores, or AMD equivalent Memory: 8 GB RAM Graphics: DirectX 11-capable video card from NVIDIA or AMD w/512 MB VRAM DirectX: Version 11 Storage: 20 GB available space Sound Card: Default VR Support: SteamVR or Oculus PC Additional Notes: The disk requirements are based on how many world scenery areas are downloaded. Minimum with one scenery area is 20 GB . Additional scenery areas can be downloaded at no charge at any time after purchase Recommended: Requires a 64-bit processor and operating system OS *: Windows 7, 8.1, or 10, 64-bit Processor: Intel Core i5 6600K at 3.5 ghz or faster Memory: 16 GB RAM Graphics: DirectX 12-capable video card from NVIDIA or AMD w/4 GB VRAM DirectX: Version 12 Network: Broadband Internet connection Storage: 65 GB available space Sound Card: Default Additional Notes: The disk requirements are based on how many world scenery areas are downloaded. Minimum with one scenery area is 20 GB . Additional scenery areas can be downloaded at no charge at any time after purchase * Starting January 1st, 2024, the Steam Client will only support Windows 10 and later versions. Minimum: OS: OS X: OS X 10.11 or newer (e.g. El Capitan, Sierra, High Sierra, Mojave, Catalina) Processor: Intel Core i3, i5, or i7 CPU with 2 or more cores, or AMD equivalent Memory: 8 GB RAM Graphics: NVIDIA or AMD video card w/512 MB VRAM Network: Broadband Internet connection Storage: 20 GB available space Sound Card: Default Additional Notes: The disk requirements are based on how many world scenery areas are downloaded. Minimum with one scenery area is 20 GB . Additional scenery areas can be downloaded at no charge at any time after purchase Recommended: OS: OS X: OS X 10.11 or newer (e.g. El Capitan, Sierra, High Sierra, Mojave, Catalina) Processor: Intel Core i5 6600K at 3.5 ghz or faster Memory: 16 GB RAM Graphics: video card from NVIDIA or AMD w/4 GB VRAM Network: Broadband Internet connection Storage: 65 GB available space Sound Card: Default Additional Notes: The disk requirements are based on how many world scenery areas are downloaded. Minimum with one scenery area is 20 GB . Additional scenery areas can be downloaded at no charge at any time after purchase Minimum: OS: Varies, Ubuntu 16.04LTS tested Processor: Intel Core i3, i5, or i7 CPU with 2 or more cores, or AMD equivalent Memory: 8 GB RAM Graphics: video card from NVIDIA or AMD w/512 MB VRAM with proprietary driver Network: Broadband Internet connection Storage: 20 GB available space Sound Card: Default Additional Notes: The disk requirements are based on how many world scenery areas are downloaded. Minimum with one scenery area is 20 GB . Additional scenery areas can be downloaded at no charge at any time after purchase Recommended: OS: Varies, Ubuntu 16.04LTS tested Processor: Intel Core i5 6600K at 3.5 ghz or faster Memory: 16 GB RAM Graphics: video card from NVIDIA or AMD w/4 GB VRAM with proprietary driver Network: Broadband Internet connection Storage: 65 GB available space Sound Card: Default Additional Notes: The disk requirements are based on how many world scenery areas are downloaded. Minimum with one scenery area is 20 GB . Additional scenery areas can be downloaded at no charge at any time after purchase View all","Simulation,Flight,Realistic,Open World,Multiplayer,VR,Singleplayer,Physics,First-Person,Sandbox,Atmospheric,Adventure,Education,Third Person,Family Friendly,Exploration,Beautiful,Action,Controller,Massively Multiplayer",https://store.steampowered.com/app/269950/XPlane_11/,4.0,14.49,92.96029789161173,10182,2017-03-30,4.44,9,,6,Simulation,"macOS, PC, Linux",6,
